state,location,mean_SQ_fg,total_DNA_ng,ratio_Fvfg_DNAng,year,pass,range,rep,cultivar,trt,product,stand_count,pl_pop_a,pl_pop_ha,wm_dx,rr_di,rr_ds,rr_dx,rdw_g,sdw_g,f_dx,yield_bua,yield_kgha,plant_date,seed_rate_a,seed_rate_ha,row_space_in,row_space_m,soil_type,sds_history,scn_history,irrigation,tillage,prev_crop,scn_count_rep
MI,DECATUR,382.3747572,55.00074784,7.011990171,2023,30,25,3,DF3191NE3,8,BASE+HEADSUP,58,100637,248677.9874,0,40,1.4,11.2,1.62,5.3,6.666666667,79.35626694,5336.708952,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,220
MI,DECATUR,333.1579275,42.63161831,7.819352277,2023,29,26,4,GH2292E3,1,BASE,65,112888,278951.8293,0,60,1.7,20.4,1.72,4.85,22.22222222,77.35350832,5202.023434,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,240
MI,DECATUR,333.1579275,42.63161831,7.819352277,2023,35,26,4,GH2292E3,2,BASE+HEADSUP,67,117263,289763.9157,0,50,1.7,17,1.34,3.5,8.888888889,79.38326491,5338.524565,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,240
MI,DECATUR,333.1579275,42.63161831,7.819352277,2023,33,26,4,P28A65E,3,BASE,62,108512,268139.7429,0,80,2,32,1.73,6.11,0,74.55916917,5014.104127,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,240
MI,DECATUR,333.1579275,42.63161831,7.819352277,2023,31,26,4,P28A65E,4,BASE+HEADSUP,59,102387,253002.8219,0,50,1.6,16,1.57,6.29,0,71.75815416,4825.735867,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,240
MI,DECATUR,333.1579275,42.63161831,7.819352277,2023,28,26,4,DF3211NE3,5,BASE,64,112013,276789.412,0,50,1.6,16,1.61,4.94,13.33333333,71.76787343,4826.389488,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,240
MI,DECATUR,333.1579275,42.63161831,7.819352277,2023,34,26,4,DF3211NE3,6,BASE+HEADSUP,67,117263,289763.9157,0,60,1.6,19.2,1.91,6.87,4.444444444,74.30813712,4997.222221,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,240
MI,DECATUR,333.1579275,42.63161831,7.819352277,2023,30,26,4,DF3191NE3,7,BASE,66,114638,283276.6639,0,40,1.5,12,2.17,9.66,0.555555556,79.44059878,5342.380268,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,240
MI,DECATUR,333.1579275,42.63161831,7.819352277,2023,32,26,4,DF3191NE3,8,BASE+HEADSUP,65,113763,281114.2466,0,80,2,32,1.78,7.25,0,83.01012333,5582.430794,5/9/2023,139392,344445,30,0.762,loamy_sand,y,y,y,y,corn,240
MI,EAST_LANSING,0,117.0838319,0,2023,17,13,1,GH2292E3,1,BASE,45,137828.25,340581.0248,34.66666667,80,2.1,33.6,3.05,9.56,0,91.81823611,6174.776378,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,117.0838319,0,2023,20,13,1,GH2292E3,2,BASE+HEADSUP,51,156205,385990.9633,14.07407407,70,1.8,25.2,4.36,15.87,0,90.61010142,6093.52932,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,117.0838319,0,2023,18,13,1,P28A65E,3,BASE,44,134765.75,333013.4225,43,50,1.6,16,3.81,14.58,0,63.5707002,4275.129589,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,117.0838319,0,2023,22,14,1,P28A65E,4,BASE+HEADSUP,44,134765.75,333013.4225,29.33333333,70,1.8,25.2,3.68,12.2,0,75.58784097,5083.282305,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,117.0838319,0,2023,21,13,1,DF3211NE3,5,BASE,37,113324.75,280031.5573,35.77777778,30,1.3,7.8,4,12.49,0,86.36955456,5808.352544,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,117.0838319,0,2023,19,13,1,DF3211NE3,6,BASE+HEADSUP,47,143953.25,355716.2295,59.07407407,90,2.5,45,3.82,14.26,0,80.95071805,5443.935789,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,117.0838319,0,2023,22,13,1,DF3191NE3,7,BASE,26,79633.75,196779.2828,61.11111111,40,1.5,12,3.25,10.11,0,93.17913022,6266.296508,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,117.0838319,0,2023,16,13,1,DF3191NE3,8,BASE+HEADSUP,42,128639,317873.8934,4.444444444,90,2.3,41.4,3.52,10.7,0,91.57711968,6158.561298,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,123.7825307,0,2023,21,14,2,GH2292E3,1,BASE,46,139359.5,344364.826,68.44444444,30,1.3,7.8,3.21,9.16,0,80.432357,5409.076008,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,123.7825307,0,2023,16,15,2,GH2292E3,2,BASE+HEADSUP,51,154673.75,382207.1621,61.11111111,60,1.9,22.8,3.78,12.86,0,98.14302637,6600.118523,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,123.7825307,0,2023,17,14,2,P28A65E,3,BASE,41,124045.25,306522.4899,70.88888889,60,2,24,3.55,12.4,0,77.09933469,5184.930258,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,123.7825307,0,2023,19,14,2,P28A65E,4,BASE+HEADSUP,37,111793.5,276247.7562,23.33333333,90,2.6,46.8,3.75,10.04,0,51.17362434,3441.426237,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,123.7825307,0,2023,17,15,2,DF3211NE3,5,BASE,32,96479.25,238405.4201,1.481481481,60,1.8,21.6,3.6,11.58,0,83.01611197,5582.83353,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,123.7825307,0,2023,18,14,2,DF3211NE3,6,BASE+HEADSUP,51,156205,385990.9633,66.59259259,80,2.2,35.2,3.68,11.71,0,93.58400162,6293.524109,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,123.7825307,0,2023,20,14,2,DF3191NE3,7,BASE,45,136297,336797.2236,87.77777778,20,1.2,4.8,3.79,10.87,0,86.40509371,5810.742552,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,123.7825307,0,2023,16,14,2,DF3191NE3,8,BASE+HEADSUP,49,148548.75,367071.9574,35.25925926,70,1.8,25.2,3.6,11.37,0,92.87302231,6245.710751,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,137.2004936,0,2023,22,16,3,GH2292E3,1,BASE,42,128639,317873.8934,25.77777778,70,1.9,26.6,3.24,10.17,0,NA,NA,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,137.2004936,0,2023,19,15,3,GH2292E3,2,BASE+HEADSUP,47,142422,351932.4283,17.92592593,50,1.6,16,3.72,12.7,0,81.35676755,5471.242617,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,137.2004936,0,2023,21,15,3,P28A65E,3,BASE,50,151611.25,374639.5597,29.62962963,60,1.7,20.4,2.95,9.92,0,46.34638702,3116.794527,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,137.2004936,0,2023,18,15,3,P28A65E,4,BASE+HEADSUP,51,156205,385990.9633,54.44444444,90,2.3,41.4,4.04,15.08,0,67.15750345,4516.342107,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,137.2004936,0,2023,21,16,3,DF3211NE3,5,BASE,48,147017.5,363288.1562,56.66666667,60,1.7,20.4,4.14,13.6,0,72.82599757,4897.548336,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,137.2004936,0,2023,20,16,3,DF3211NE3,6,BASE+HEADSUP,38,114857.75,283819.6829,44.59259259,100,3.5,70,3.69,9.77,0,89.15810142,5995.88232,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,137.2004936,0,2023,22,15,3,DF3191NE3,7,BASE,46,139359.5,344364.826,1.333333333,50,1.8,18,3.85,12.16,0,NA,NA,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,137.2004936,0,2023,20,15,3,DF3191NE3,8,BASE+HEADSUP,54,163863,404914.2935,26.85185185,70,1.9,26.6,4.37,12.35,0,88.7917144,5971.242794,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,121.6942118,0,2023,20,17,4,GH2292E3,1,BASE,51,154673.75,382207.1621,40.74074074,50,1.6,16,3.42,12.45,0,76.19878053,5124.36799,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,121.6942118,0,2023,19,16,4,GH2292E3,2,BASE+HEADSUP,48,145486.25,359504.355,88.88888889,60,1.7,20.4,3.78,13.26,0,96.41515619,6483.919254,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,121.6942118,0,2023,17,16,4,P28A65E,3,BASE,44,133234.5,329229.6213,62.22222222,30,1.3,7.8,3.97,13.24,0,73.0313785,4911.360204,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,121.6942118,0,2023,18,17,4,P28A65E,4,BASE+HEADSUP,30,90354.25,223270.2154,33,80,2.4,38.4,2.5,8.67,0,81.44826613,5477.395897,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,121.6942118,0,2023,21,17,4,DF3211NE3,5,BASE,52,157736.25,389774.7644,34,90,2.6,46.8,3.46,13.06,0,59.93873671,4030.880044,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,121.6942118,0,2023,18,16,4,DF3211NE3,6,BASE+HEADSUP,47,143953.25,355716.2295,56,40,1.4,11.2,3.29,10.18,0,88.04853387,5921.263903,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,121.6942118,0,2023,19,17,4,DF3191NE3,7,BASE,47,143953.25,355716.2295,81.11111111,30,1.4,8.4,4.16,14.56,0,96.30559351,6476.551163,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,EAST_LANSING,0,121.6942118,0,2023,17,17,4,DF3191NE3,8,BASE+HEADSUP,44,133234.5,329229.6213,25.66666667,70,2.3,32.2,2.99,9.99,0,90.67941258,6098.190496,5/12/2023,139392,344445,30,0.762,loam,n,n,y,y,corn,0
MI,MONTCALM,0.825797413,74.45133762,0.010973915,2023,37,4,1,GH2292E3,1,BASE,32,111467,275440.4155,42,100,2.4,48,1.85,10.87,0,40.11716256,2697.879182,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.825797413,74.45133762,0.010973915,2023,38,4,1,GH2292E3,2,BASE+HEADSUP,44,153267,378730.5714,32.59259259,100,2.5,50,2.36,10.38,0,41.93097044,2819.857762,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.825797413,74.45133762,0.010973915,2023,39,4,1,P28A65E,3,BASE,40,139334,344300.5194,83.33333333,80,1.9,30.4,3.76,23.78,0,33.1277734,2227.842761,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.825797413,74.45133762,0.010973915,2023,39,5,1,P28A65E,4,BASE+HEADSUP,42,146300,361515.5454,22.66666667,100,2.4,48,3.4,18.83,0,31.43973399,2114.322111,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.825797413,74.45133762,0.010973915,2023,40,4,1,DF3211NE3,5,BASE,38,132367,327085.4934,25.81481481,80,2,32,1.31,6.61,0,53.58414069,3603.533461,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.825797413,74.45133762,0.010973915,2023,40,5,1,DF3211NE3,6,BASE+HEADSUP,48,167200,413160.6233,19.55555556,50,1.8,18,2.32,12.53,0,65.68344926,4417.211963,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.825797413,74.45133762,0.010973915,2023,41,4,1,DF3191NE3,7,BASE,47,163717,404553.1103,21.40740741,100,2.6,52,2.04,11.46,0,54.39516256,3658.074682,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.825797413,74.45133762,0.010973915,2023,41,5,1,DF3191NE3,8,BASE+HEADSUP,51,177650,438983.1623,14.51851852,60,1.7,20.4,1.59,7.57,0,41.85741675,2814.911276,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,110.1568773,0,2023,36,5,2,GH2292E3,1,BASE,32,111467,275440.4155,68.37037037,100,2.8,56,1.58,10.04,0,23.68655468,1592.920802,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,110.1568773,0,2023,36,6,2,GH2292E3,2,BASE+HEADSUP,46,160234,395945.5973,8.333333333,80,2,32,2.13,12.36,0,44.76165517,3010.22131,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,110.1568773,0,2023,37,5,2,P28A65E,3,BASE,41,142817,352908.0324,42,80,1.9,30.4,2.34,14,0,44.62265419,3000.873494,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,110.1568773,0,2023,37,6,2,P28A65E,4,BASE+HEADSUP,49,170684,421768.1363,92.22222222,100,2.5,50,2.39,14.52,0,23.63076355,1589.168849,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,110.1568773,0,2023,38,5,2,DF3211NE3,5,BASE,39,135850,335693.0064,61.62962963,100,2.5,50,2.48,14.51,0,40.39206502,2716.366373,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,110.1568773,0,2023,38,6,2,DF3211NE3,6,BASE+HEADSUP,33,114950,284047.9285,31.33333333,70,2.2,30.8,2.16,10.85,0,42.07152118,2829.3098,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,110.1568773,0,2023,39,6,2,DF3191NE3,7,BASE,39,135850,335693.0064,48,70,2,28,3.16,17.22,0,53.81698522,3619.192256,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,110.1568773,0,2023,40,6,2,DF3191NE3,8,BASE+HEADSUP,32,111467,275440.4155,36.66666667,90,2.3,41.4,2.73,14.05,0,37.83201498,2544.203007,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,93.84022857,0,2023,36,7,3,GH2292E3,1,BASE,41,142817,352908.0324,33.07407407,90,2.5,45,1.92,10.07,0,47.00188374,3160.876682,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,93.84022857,0,2023,36,8,3,GH2292E3,2,BASE+HEADSUP,43,149784,370123.0584,25,60,2.1,25.2,1.36,9.3,0,38.58028374,2594.524082,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,93.84022857,0,2023,37,7,3,P28A65E,3,BASE,41,142817,352908.0324,65,100,2.5,50,2.03,11.8,0,45.36605911,3050.867475,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,93.84022857,0,2023,38,7,3,P28A65E,4,BASE+HEADSUP,39,135850,335693.0064,37.77777778,100,2.7,54,2.59,13.85,0,47.05445616,3164.412177,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,93.84022857,0,2023,39,7,3,DF3211NE3,5,BASE,40,139334,344300.5194,48,90,2.1,37.8,2.9,13.75,0,30.31342069,2038.577541,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,93.84022857,0,2023,40,7,3,DF3211NE3,6,BASE+HEADSUP,37,128884,318477.9805,39.11111111,90,2.1,37.8,2.42,13.91,0,59.21549261,3982.241878,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,93.84022857,0,2023,41,6,3,DF3191NE3,7,BASE,42,146300,361515.5454,80.88888889,80,2.1,33.6,2.46,13.75,0,29.22525517,1965.39841,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0,93.84022857,0,2023,41,7,3,DF3191NE3,8,BASE+HEADSUP,46,160234,395945.5973,68.44444444,80,2,32,2.31,13.9,0,47.6891399,3207.094658,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.378197369,84.38974436,0.004280371,2023,37,8,4,GH2292E3,1,BASE,49,170684,421768.1363,50.66666667,100,2.5,50,2.71,15.69,0,35.92698621,2416.089822,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.378197369,84.38974436,0.004280371,2023,37,9,4,GH2292E3,2,BASE+HEADSUP,48,167200,413160.6233,37.33333333,100,2.5,50,2.61,14.72,0,29.43935961,1979.796933,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.378197369,84.38974436,0.004280371,2023,38,8,4,P28A65E,3,BASE,38,132367,327085.4934,25.18518519,50,1.5,15,2.13,10.89,0,31.75975813,2135.843734,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.378197369,84.38974436,0.004280371,2023,38,9,4,P28A65E,4,BASE+HEADSUP,38,132367,327085.4934,37.33333333,90,2.6,46.8,1.98,11.67,0,41.84978719,2814.398189,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.378197369,84.38974436,0.004280371,2023,39,8,4,DF3211NE3,5,BASE,32,111467,275440.4155,23.92592593,100,2.8,56,2.85,13.07,0,44.73304433,3008.297232,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.378197369,84.38974436,0.004280371,2023,39,9,4,DF3211NE3,6,BASE+HEADSUP,34,118434,292655.4415,50.66666667,80,2,32,3.22,19.38,0,50.43017734,3391.429426,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.378197369,84.38974436,0.004280371,2023,40,8,4,DF3191NE3,7,BASE,34,118434,292655.4415,64,90,2.5,45,2.2,11.47,0,53.89423448,3624.387269,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,MONTCALM,0.378197369,84.38974436,0.004280371,2023,40,9,4,DF3191NE3,8,BASE+HEADSUP,34,118434,292655.4415,77.33333333,60,1.7,20.4,2.08,11.92,0,34.94296414,2349.914338,5/22/2023,NA,NA,15,0.381,loamy_sand,n,y,y,y,corn,0
MI,ALLEGAN,195.3740446,124.3677086,1.747788849,2023,11,31,1,GH2292E3,1,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.37831669,4800.191798,5/22/2023,160000,395368,15,0.381,loam,y,n,n,y,corn,40
MI,ALLEGAN,195.3740446,124.3677086,1.747788849,2023,11,30,1,GH2292E3,2,BASE+HEADSUP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.90692668,4297.740819,5/22/2023,160000,395368,15,0.381,loam,y,n,n,y,corn,40
MI,ALLEGAN,195.3740446,124.3677086,1.747788849,2023,12,30,1,P28A65E,3,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.8790937,4430.369051,5/22/2023,160000,395368,15,0.381,loam,y,n,n,y,corn,40
MI,ALLEGAN,195.3740446,124.3677086,1.747788849,2023,10,30,1,P28A65E,4,BASE+HEADSUP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.32841487,3855.3359,5/22/2023,160000,395368,15,0.381,loam,y,n,n,y,corn,40
MI,ALLEGAN,195.3740446,124.3677086,1.747788849,2023,7,30,1,DF3211NE3,5,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.81449167,4291.524564,5/22/2023,160000,395368,15,0.381,loam,y,n,n,y,corn,40
